Band Value,landcover Count
10,"4,219.98"
11,"263,662.46"
12,
13,
14,
15,
16,
17,
18,
19,
20,"49,638.46"
21,"958,586.99"
22,"581,835.91"
23,"1,793,806.17"
24,"305,808.13"
25,
26,
27,
28,
29,
30,"6,011.52"
31,"38,236.77"
32,
33,
34,
35,
36,
37,
38,
39,
40,"7,603.34"
41,"223,418.22"
42,"309,101.38"
43,"259,510.96"
44,
45,
46,
47,
48,
49,
50,
51,"18,305.96"
52,"28,589.83"
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,"139,250.58"
72,
73,
74,
75,
76,
77,
78,
79,
80,"220,208.98"
81,"370,483.39"
82,"122,069.71"
83,
84,
85,
86,
87,
88,
89,"59,713.22"
90,"448,807.84"
91,
92,
93,
94,"33,651.13"
95,"71,975.31"